name,style,prompt
Dominion Systems,Corporate,"corporate logo for Dominion Systems, the weapons conglomerate from Cybermancy. Design a sleek, militaristic emblem combining a stylized shield and geometric weapon motif integrated with digital circuitry. Use metallic dark steel, black, and amber highlights on a light grey background."
Neuracore Industries,Corporate,"corporate logo for Neuracore Industries, the cybernetics and neural interface megacorporation. Design a clean, futuristic emblem combining neural network and human silhouette motifs, symbolizing control and cognition. Use silver, cobalt blue, and white with subtle circuit patterns on a light grey background."
Helion Dynamics,Corporate,"corporate logo for Helion Dynamics, the energy and climate control megacorporation. Create a luminous geometric symbol inspired by a solar flare or energy ring, representing harnessed power and stability. Colors: radiant gold, white, and soft blue with a light grey background."
OmniTrine Communications,Corporate,"corporate logo for OmniTrine Communications, the global data and AI control corporation in Cybermancy. Design a digital trinity emblem combining concentric rings and data nodes, suggesting information flow and connection. Use bright cyan, silver, and black tones on a light grey background."
Verdant Biomech,Corporate,"corporate logo for Verdant Biomech, an agriculture and biosphere engineering megacorp. Create an emblem combining organic leaves and mechanical symmetry, representing synthetic ecology. Use green, gold, and graphite hues with a light grey background."
AstraVail Technologies,Corporate,"corporate logo for AstraVail Technologies, an aerospace and orbital data logistics company in the Cybermancy world. Blend cyberpunk and aerospace motifs: orbital rings, satellites, and digital pathways. Colors: silver, navy, and white with subtle starfield accents on a light grey background."
ChimeraGene Solutions,Corporate,"corporate logo for ChimeraGene Solutions, a biotech and body modification firm in the Cybermancy world. Combine motifs of DNA spirals, molecular structures, and living circuitry. Sleek and futuristic design with hues of bio-luminescent green, violet, and silver on a light grey background."
Vesper Syndicate,Corporate,"corporate logo for Vesper Syndicate, a nightlife and neuro-entertainment corporation from the Cybermancy setting. Design an elegant, neon-infused emblem combining musical waveforms and digital masks. Use glowing magenta, cyan, and black elements on a light grey background."
Kirin Logistics,Corporate,"corporate logo for Kirin Logistics, a global freight and autonomous transport megacorp in the Cybermancy world. Design a stylized red crane motif merged with geometric lines and motion arcs, suggesting speed and precision. Use red, black, and chrome tones on a light grey background."
Black Helix Security,Corporate,"corporate logo for Black Helix Security, a privatized paramilitary enforcement megacorp from Cybermancy. Create a sharp, militaristic emblem featuring a coiled double helix or spiral within a shield. Use matte black, steel grey, and crimson accents on a light grey background."
Helios Biotech,Corporate,"corporate logo for Helios Biotech, the transhuman bioware and genetic ascension megacorp led by Aurelia Vale (Aurum Rex) in the Cybermancy world. Design a sleek, luminous emblem combining a stylized double helix, ascending geometric arcs, and subtle halo or sunburst motifs to suggest transcendence and spiritual biotech. Use clean lines with gold, white, and soft teal accents on a light grey background."
