name,type,img,description,tier,armor-features,baseScore,major,severe,cybermancy-feature-name,cybermancy-feature-effect
Leather Jacket,armor,icons/armor/leather-jacket.webp,Streetwear with hidden Kevlar panels—light protection that doesn't slow you down.,1,FALSE,light,,,,
Kevlar Vest,armor,icons/armor/kevlar-vest.webp,Soft ballistic vest worn under clothes; basic insurance against small arms.,1,FALSE,light,,,,
Riot Shield,armor,icons/armor/riot-shield.webp,Polycarbonate shield for crowd control and breach work.,1,FALSE,medium,,,,
Hazmat Suit,armor,icons/armor/hazmat-suit.webp,Sealed suit against toxins and biohazards; clumsy but lifesaving.,1,FALSE,medium,,,,
Chameleon Hoodie,armor,icons/armor/chameleon-hoodie.webp,Active-fabric hoodie that shifts patterns to blend with urban clutter.,1,FALSE,light,,,,
Armored Coat,armor,icons/armor/armored-coat.webp,Reinforced long-coat with ceramic plating sewn into the lining.,2,FALSE,medium,,,,
Tactical Vest,armor,icons/armor/tactical-vest.webp,Modular plate carrier with hard inserts and gear webbing.,2,FALSE,medium,,,,
Ballistic Shield,armor,icons/armor/ballistic-shield.webp,Heavy composite shield used by breach teams; excellent cover.,2,FALSE,heavy,,,,
Reactive Weave Suit,armor,icons/armor/reactive-weave-suit.webp,"Micro-actuated fibers stiffen on impact, dispersing kinetic force.",2,FALSE,medium,,,,
Insulation Lining,armor,icons/armor/insulation-lining.webp,Dielectric layers and ground straps mitigate electrical shocks.,2,FALSE,light,,,,
Combat Armor,armor,icons/armor/combat-armor.webp,Full-body tactical armor with sealed joints and hardened plates.,3,FALSE,heavy,,,,
Stealth Weave Cloak,armor,icons/armor/stealth-weave-cloak.webp,Light cloak with optical dampening and sound-baffling seams.,3,FALSE,light,,,,
Riot Exo-Frame,armor,icons/armor/riot-exo-frame.webp,Powered brace that supports heavy shields and nonlethal ordnance.,3,FALSE,heavy,,,,
Ballistic Plate Carrier,armor,icons/armor/ballistic-plate-carrier.webp,High-cut plate carrier with side plates; optimized for mobility.,3,FALSE,medium,,,,
Fire-Resistant Armor,armor,icons/armor/fire-resistant-armor.webp,Thermally insulated rig built for infernos and plasma splash.,3,FALSE,medium,,,,
Powered Armor,armor,icons/armor/powered-armor.webp,"Black-ops exosuit with servo assist, HUD, and full sealed systems.",4,FALSE,heavy,,,,
Mirror Cloak,armor,icons/armor/mirror-cloak.webp,Metamaterial cloak that bends light—nearly invisible when still.,4,FALSE,light,,,,
Kinetic Dampener Suit,armor,icons/armor/kinetic-dampener-suit.webp,Field projectors diffuse impacts before they land.,4,FALSE,medium,,,,
Hazard Response Exosuit,armor,icons/armor/hazard-response-exosuit.webp,"Industrial exo rated for radiation, vacuum, and caustics.",4,FALSE,heavy,,,,
